time,threads,tps,qps,r,w,o,lat,err,reconn
1,16,2030.58,58457.22,26694.14,27653.99,4109.10,18.61,6.99,0.00
2,16,2267.04,65577.29,29967.59,31075.61,4534.09,17.32,7.00,0.00
3,16,2466.01,70656.30,32242.14,33482.14,4932.02,16.41,18.00,0.00
4,16,2646.00,76002.93,34682.97,36027.97,5292.00,14.73,17.00,0.00
5,16,2889.99,80709.74,36696.88,38232.88,5779.98,13.95,16.00,0.00
6,16,2962.01,84194.20,38402.09,39868.10,5924.01,12.98,10.00,0.00
7,16,3146.99,87511.81,39925.91,41291.91,6293.99,12.52,13.00,0.00
8,16,3201.02,90708.54,41419.25,42887.26,6402.04,12.08,12.00,0.00
9,16,3193.99,90567.84,41286.93,42892.92,6387.99,12.30,14.00,0.00
10,16,3294.97,91835.10,41868.59,43376.57,6589.94,11.65,15.00,0.00
11,16,3310.04,93355.18,42630.54,44105.56,6619.08,11.65,13.00,0.00
12,16,3352.91,95090.58,43463.90,44919.86,6706.83,11.65,23.00,0.00
13,16,3610.07,103132.94,47202.89,48709.92,7220.14,10.27,15.00,0.00
14,16,3648.00,103569.11,47231.05,49042.05,7296.01,10.84,17.00,0.00
15,16,3608.89,102551.99,46676.63,48657.57,7217.79,11.24,14.00,0.00
16,16,3637.11,102846.16,46922.44,48649.50,7274.22,10.65,11.00,0.00
17,16,3822.94,106859.19,48706.17,50507.14,7645.87,10.65,18.00,0.00
18,16,3810.08,109185.33,49790.06,51775.10,7620.16,10.27,14.00,0.00
19,16,3797.00,109276.95,49805.98,51877.98,7593.00,10.46,22.00,0.00
20,16,3795.00,107495.06,48923.03,50981.03,7591.00,10.65,16.00,0.00
21,16,3814.97,110642.05,50514.57,52497.55,7629.93,10.27,14.00,0.00
22,16,4063.03,114019.91,51990.41,53903.43,8126.06,9.56,12.00,0.00
23,16,3994.99,115071.84,52550.93,54530.92,7989.99,9.73,16.00,0.00
24,16,4083.97,116624.27,53233.66,55222.65,8167.95,9.06,18.00,0.00
25,16,4122.01,116313.37,53093.17,54976.18,8244.03,9.06,12.00,0.00
26,16,4122.02,117457.68,53668.31,55545.32,8244.05,9.22,24.00,0.00
27,16,4137.96,115775.98,52797.53,54702.52,8275.93,9.56,18.00,0.00
28,16,4004.03,114647.94,52311.43,54328.45,8008.07,9.73,26.00,0.00
29,16,4082.98,117005.44,53427.74,55412.73,8164.96,9.39,13.00,0.00
30,16,4198.99,119817.67,54701.85,56716.85,8398.98,8.90,20.00,0.00
31,16,4124.00,118252.04,53918.02,56086.02,8248.00,9.73,21.00,0.00
32,16,4004.04,116983.08,53382.49,55592.51,8008.07,9.91,22.00,0.00
33,16,4273.97,119032.11,54238.60,56245.58,8547.94,8.90,25.00,0.00
34,16,4255.99,121403.62,55318.83,57572.82,8511.97,9.06,23.00,0.00
35,16,4170.02,119301.44,54439.20,56523.21,8339.03,9.22,17.00,0.00
36,16,4038.99,117597.59,53599.81,55918.80,8078.97,10.09,17.00,0.00
37,16,4343.04,122016.25,55632.57,57697.59,8686.09,9.22,17.00,0.00
38,16,4363.84,123404.60,56411.99,58265.92,8726.69,8.43,13.00,0.00
39,16,4313.11,123570.16,56491.45,58451.50,8627.22,8.58,32.00,0.00
40,16,4230.01,121412.24,55273.11,57679.11,8460.02,9.91,20.00,0.00
41,16,4215.00,121291.87,55393.94,57467.94,8429.99,9.39,23.00,0.00
42,16,4375.02,124040.48,56516.22,58774.23,8750.03,8.58,16.00,0.00
43,16,4437.98,122886.52,56033.78,57976.77,8875.97,8.58,23.00,0.00
