time,threads,tps,qps,r,w,o,lat,err,reconn
1,16,1972.12,55519.84,25305.01,26223.66,3991.17,19.65,10.98,0.00
2,16,2244.96,64681.98,29525.53,30665.51,4490.93,17.32,13.00,0.00
3,16,2410.00,68600.97,31398.99,32381.98,4820.00,15.83,15.00,0.00
4,16,2482.91,70592.56,32120.89,33505.84,4965.83,16.12,11.00,0.00
5,16,2621.08,75382.42,34270.10,35870.15,5242.17,15.27,6.00,0.00
6,16,2729.90,77616.02,35340.64,36814.59,5460.79,14.73,14.00,0.00
7,16,2870.21,81259.87,37128.68,38391.77,5739.41,13.95,11.00,0.00
8,16,2884.90,82611.21,37726.72,39114.68,5769.80,13.46,15.00,0.00
9,16,2943.90,84562.19,38542.72,40131.67,5887.80,13.22,8.00,0.00
10,16,3080.04,86291.16,39346.53,40784.55,6160.08,12.75,17.00,0.00
11,16,3067.16,87565.44,39897.02,41534.10,6134.31,12.75,16.00,0.00
12,16,3221.89,90875.98,41411.62,43020.57,6443.79,12.30,16.00,0.00
13,16,3279.98,92300.39,42145.72,43594.71,6559.96,12.08,19.00,0.00
14,16,3225.17,93063.89,42432.23,44181.32,6450.34,12.08,12.00,0.00
15,16,3333.83,94767.09,43266.76,44832.68,6667.65,11.87,11.00,0.00
16,16,3382.03,94770.77,43252.35,44754.37,6764.06,11.65,23.00,0.00
17,16,3386.94,96696.37,43993.26,45930.23,6772.89,11.45,9.00,0.00
18,16,3378.13,97344.69,44371.68,46215.75,6757.26,11.45,14.00,0.00
19,16,3441.05,98708.52,45082.69,46743.72,6882.11,11.24,13.00,0.00
20,16,3478.73,99188.19,45286.44,46944.31,6957.45,11.45,18.00,0.00
21,16,3460.10,100368.88,45829.31,47619.36,6920.20,11.04,20.00,0.00
22,16,3559.13,100891.72,46077.70,47695.76,7118.26,11.04,17.00,0.00
23,16,3560.93,101254.98,46165.08,47968.04,7121.86,11.04,16.00,0.00
24,16,3531.91,101699.42,46401.82,48233.78,7063.82,11.04,16.00,0.00
25,16,3551.13,101924.59,46384.63,48437.71,7102.25,11.45,13.00,0.00
26,16,3597.92,102731.61,46943.91,48592.87,7194.83,10.65,12.00,0.00
27,16,3623.12,103379.33,47211.52,48921.57,7246.23,10.65,11.00,0.00
28,16,3730.79,103903.15,47474.33,48966.24,7462.58,10.46,15.00,0.00
29,16,3618.95,102309.65,46661.38,48410.36,7237.90,10.84,16.00,0.00
30,16,3436.26,100698.50,45973.42,47852.56,6872.51,11.24,13.00,0.00
31,16,3460.94,99125.18,45165.17,47039.14,6920.87,11.65,12.00,0.00
32,16,3674.03,100682.86,45964.39,47369.40,7349.06,10.84,7.00,0.00
33,16,3688.02,104520.44,47626.20,49518.21,7376.03,10.65,19.00,0.00
34,16,3645.99,103107.74,47059.88,48755.88,7291.98,10.65,19.00,0.00
35,16,3486.92,101919.64,46542.92,48402.88,6973.84,11.24,14.00,0.00
36,16,3479.05,100896.46,46100.67,47838.69,6957.10,11.24,16.00,0.00
